statefp,macro_period,topic,prob
01,-1,0,0.3418446603231132
01,-1,1,0.4245915520670159
01,-1,2,0.3543134658331318
01,-1,3,0.4106461626167099
01,-1,4,0.43107435049577836
01,-1,5,0.23470595141407102
01,-1,6,0.4942229506917871
01,-1,7,0.48050103574059905
01,-1,8,0.47025238294154403
01,-1,9,0.21942977008542844
01,-1,10,0.2573696080861347
01,-1,11,0.20960235176607966
01,-1,12,0.5080552588854181
01,-1,13,0.42925665198514856
01,-1,14,0.3280863928608596
01,-1,15,0.3542091527667183
01,-1,16,0.3422138604589484
01,-1,17,0.20740649135162434
01,-1,18,0.49370727786380386
01,-1,19,0.154705848894082
01,-1,20,0.2628354084833215
01,-1,21,0.383438718598336
01,-1,22,0.29241272239014504
01,-1,23,0.38522021599898215
01,-1,24,0.4812947812024504
01,-1,25,0.4036597636683534
01,-1,26,0.35072201190309393
01,-1,27,0.24263664369937032
01,-1,28,0.4076796410206173
01,-1,29,0.3916063278815464
01,-1,30,0.3908484128156775
01,-1,31,0.294133769451744
01,-1,32,0.16058200147623816
01,-1,33,0.22727465210482478
01,-1,34,0.28743003716226667
01,1,0,0.5287664483758282
01,1,1,0.5521843720634311
01,1,2,0.5029398420672144
01,1,3,0.5858212704917163
01,1,4,0.5639951894000443
01,1,5,0.5958025371885778
01,1,6,0.5397723311778262
01,1,7,0.5243518454625326
01,1,8,0.582492047021004
01,1,9,0.5940691089039684
01,1,10,0.5194324769593518
01,1,11,0.49812417222807803
01,1,12,0.5368456186649696
01,1,13,0.5101902492709603
01,1,14,0.5473367437373865
01,1,15,0.4938079399667913
01,1,16,0.5171381782634741
01,1,17,0.48212535076103763
01,1,18,0.6464776393495721
01,1,19,0.5617455340482013
01,1,20,0.5227717023626925
01,1,21,0.5683854188341279
01,1,22,0.5609129781134614
01,1,23,0.5305868858528981
01,1,24,0.5684780952715445
01,1,25,0.5245361793110822
01,1,26,0.5848677734867987
01,1,27,0.5947348303314045
01,1,28,0.5209579255886412
01,1,29,0.5471592626898832
01,1,30,0.48961697583875924
01,1,31,0.5849416892714064
01,1,32,0.5773273398271129
01,1,33,0.6699567522576197
01,1,34,0.5421926422747017
02,-1,0,0.34519504345953467
02,-1,1,0.30901886261999606
02,-1,2,0.39376161380537916
02,-1,3,0.5668654389280293
02,-1,4,0.1825219769962132
02,-1,5,0.41787008475512266
02,-1,6,0.42654520738869905
02,-1,7,0.5056508095934987
02,-1,8,0.5647497407805461
02,-1,9,0.28888889215886593
02,-1,10,0.36986887492239473
02,-1,11,0.536793795414269
02,-1,12,0.48529379181563853
02,-1,13,0.43110847083682363
02,-1,14,0.4694872749969363
02,-1,15,0.4068753040794815
02,-1,16,0.5965210553258657
02,-1,17,0.6471243205014616
02,-1,18,0.3488704194314778
02,-1,19,0.014285714365541935
02,-1,20,0.39848738509629456
02,-1,21,0.16437696479260921
02,-1,22,0.5551208378126223
02,-1,23,0.5116259268435993
02,-1,24,0.6191345507145992
02,-1,25,0.32090643839910626
02,-1,26,0.4549806045833975
02,-1,27,0.42879015233899864
