topic,token,count,rank
14,executive,788,13
14,federal,3412,15
14,immigrant,788,14
14,immigration,13384,2
14,islam,1353,5
14,law,2138,10
14,live,2946,8
14,muslim,14620,0
14,new,4244,6
14,order,3260,4
14,people,892,19
14,president,1532,18
14,refugeee,1198,11
14,right,1123,12
14,stay,3427,17
14,trump,14972,1
14,want,840,16
14,world,1631,9
15,anti,1420,19
15,ban,3786,5
15,country,2647,12
15,girl,5205,15
15,girls,6797,16
15,good,1675,17
15,immigrant,2533,7
15,immigration,6239,1
15,islam,3938,6
15,know,2414,13
15,like,3408,8
15,muslim,31200,0
15,order,647,11
15,people,2889,10
15,refugeee,1824,14
15,right,13712,3
15,sex,9164,9
15,trump,4154,2
15,way,8446,4
15,women,2714,18
16,ban,3871,4
16,better,3351,11
16,countries,3149,9
16,country,1389,13
16,executive,195,18
16,going,673,19
16,immigration,4123,3
16,islam,19802,2
16,muslim,9680,1
16,muslims,5585,8
16,order,2128,7
16,people,2551,10
16,president,639,16
16,refugeee,1588,6
16,refugeees,652,15
16,religion,15104,5
16,says,1003,14
16,terrorism,2675,17
16,trump,5765,0
16,world,2393,12
17,ban,59480,1
17,banned,3397,16
17,countries,20455,5
17,donald,8277,8
17,executive,1877,19
17,immigrant,1417,13
17,immigration,8245,6
17,islam,3249,4
17,list,4268,18
17,muslim,47181,2
17,obama,5142,9
17,order,4079,10
17,president,4697,11
17,refugeee,16750,3
17,refugeees,1954,17
17,temporary,4132,14
17,travel,9963,7
17,trump,52021,0
17,visa,3613,12
17,work,1651,15
18,acting,9541,7
18,attorney,9153,8
18,ban,13607,2
18,defend,7188,11
18,general,9000,10
18,immigration,12144,0
18,islam,2791,5
18,justice,5195,16
18,muslim,7107,4
18,muslims,1928,9
18,need,1368,19
18,news,2940,12
18,order,5069,6
18,people,1060,17
18,refugeee,10034,3
18,refugeees,1037,14
18,support,1397,18
18,thank,3178,15
18,trump,15948,1
18,want,1123,13
19,america,2486,16
19,american,6504,7
19,anti,7649,5
19,ban,6085,2
19,hate,5075,10
19,illegal,2332,15
19,immigrant,20227,1
19,immigrants,4289,9
19,immigration,4931,4
19,islam,2804,6
19,muslim,22776,0
19,muslims,1889,12
19,new,1677,19
19,obama,1845,11
19,order,404,14
19,protests,1702,18
19,refugeee,1498,13
19,stand,2889,17
19,trump,5848,3
19,want,3042,8
20,ban,2912,5
20,city,2464,13
20,illegal,2495,9
20,immigrant,6107,6
20,immigration,9406,0
20,islam,5110,4
20,law,756,19
20,like,1308,11
20,muslim,4079,2
20,need,5656,8
20,new,1318,12
20,order,2184,7
20,president,1965,10
20,program,3054,15
20,refugeee,7509,3
20,refugeees,1206,18
20,says,1484,14
20,stop,2015,16
20,trump,8393,1
20,women,505,17
21,american,1718,16
21,ban,4790,5
21,fuck,2868,14
21,house,3119,18
21,illegal,4978,9
21,immigrant,7351,2
21,immigration,50569,0
21,judge,2825,15
21,law,3885,17
